iter	Passed	Remaining
0	167	167428
1	170	85068
2	173	57550
3	175	43753
4	177	35357
5	179	29808
6	182	25943
7	185	23056
8	188	20770
9	191	18920
10	193	17432
11	198	16357
12	201	15266
13	203	14323
14	205	13524
15	208	12813
16	210	12196
17	213	11642
18	215	11150
19	218	10691
20	220	10282
21	223	9935
22	226	9605
23	228	9302
24	231	9015
25	233	8743
26	235	8491
27	238	8273
28	241	8072
29	243	7881
30	246	7702
31	249	7540
32	251	7371
33	254	7225
34	256	7078
35	259	6945
36	261	6806
37	263	6677
38	266	6557
39	268	6443
40	271	6350
41	274	6266
42	279	6211
43	282	6134
44	285	6059
45	288	5986
46	291	5907
47	293	5825
48	296	5757
49	298	5679
50	301	5610
51	304	5546
52	308	5508
53	311	5448
54	314	5395
55	316	5332
56	318	5267
57	321	5214
58	323	5159
59	325	5100
60	328	5051
61	330	4998
62	333	4954
63	335	4905
64	337	4859
65	340	4818
66	342	4776
67	344	4718
68	346	4677
69	348	4635
70	351	4601
71	354	4571
72	357	4540
73	360	4508
74	362	4471
75	365	4439
76	367	4405
77	369	4371
78	372	4341
79	374	4311
80	376	4276
81	379	4245
82	381	4218
83	384	4191
84	385	4151
85	388	4128
86	390	4094
87	392	4066
88	394	4039
89	397	4016
90	399	3987
91	401	3965
92	404	3942
93	406	3918
94	408	3892
95	411	3870
96	413	3849
97	419	3858
98	422	3844
99	424	3824
100	427	3806
101	428	3776
102	434	3787
103	437	3769
104	440	3757
105	443	3741
106	447	3731
107	449	3715
108	452	3695
109	454	3679
110	457	3662
111	462	3669
112	465	3655
113	468	3639
114	470	3622
115	474	3615
116	476	3598
117	492	3678
118	495	3667
119	498	3654
120	513	3731
121	517	3721
122	519	3707
123	523	3699
124	527	3690
125	534	3705
126	537	3696
127	539	3673
128	546	3687
129	553	3704
130	556	3692
131	561	3690
132	564	3678
133	566	3663
134	572	3666
135	575	3656
136	580	3658
137	583	3644
138	591	3660
139	593	3646
140	597	3641
141	602	3638
142	605	3631
143	610	3627
144	617	3638
145	619	3626
146	624	3626
147	628	3616
148	632	3610
149	634	3597
150	638	3592
151	643	3588
152	646	3579
153	649	3568
154	652	3554
155	654	3540
156	659	3540
157	661	3526
158	664	3515
159	666	3501
160	669	3490
161	672	3480
162	675	3467
163	677	3456
164	680	3443
165	683	3431
166	685	3420
167	688	3411
168	691	3400
169	694	3391
170	697	3380
171	700	3370
172	704	3369
173	707	3358
174	709	3346
175	711	3332
176	717	3336
177	723	3338
178	726	3332
179	729	3322
180	730	3306
181	733	3296
182	735	3285
183	739	3277
184	741	3265
185	744	3257
186	746	3246
187	749	3237
188	752	3227
189	754	3216
190	757	3206
191	759	3196
192	763	3191
193	766	3184
194	768	3173
195	771	3164
196	774	3156
197	777	3148
198	780	3139
199	783	3132
200	786	3126
201	791	3126
202	793	3117
203	798	3115
204	804	3120
205	807	3113
206	812	3113
207	817	3111
208	822	3112
209	828	3117
210	833	3116
211	838	3118
212	843	3116
213	849	3120
214	852	3112
215	856	3107
216	861	3106
217	865	3106
218	869	3101
219	872	3092
220	874	3084
221	877	3076
222	880	3068
223	883	3060
224	885	3050
225	888	3042
226	890	3033
227	893	3025
228	896	3018
229	899	3011
230	901	3002
231	904	2995
232	907	2986
233	909	2977
234	912	2972
235	915	2964
236	918	2956
237	921	2949
238	923	2941
239	926	2935
240	929	2927
241	932	2919
242	934	2912
243	937	2904
244	940	2897
245	943	2891
246	945	2883
247	948	2876
248	951	2869
249	953	2861
250	957	2856
251	959	2848
252	965	2849
253	968	2845
254	971	2839
255	974	2832
256	977	2827
257	980	2819
258	982	2812
259	985	2804
260	988	2797
261	991	2791
262	993	2784
263	996	2777
264	999	2770
265	1001	2763
266	1004	2757
267	1006	2749
268	1008	2741
269	1011	2734
270	1014	2729
271	1017	2722
272	1019	2715
273	1022	2708
274	1024	2702
275	1027	2695
276	1030	2688
277	1032	2681
278	1035	2674
279	1038	2669
280	1040	2663
281	1043	2657
282	1046	2651
283	1049	2645
284	1051	2637
285	1054	2631
286	1056	2625
287	1060	2621
288	1063	2615
289	1065	2609
290	1068	2603
291	1071	2598
292	1073	2591
293	1077	2586
294	1080	2581
295	1082	2575
296	1086	2570
297	1089	2565
298	1091	2559
299	1094	2553
300	1096	2547
301	1099	2541
302	1102	2535
303	1105	2531
304	1108	2525
305	1110	2519
306	1113	2514
307	1116	2508
308	1119	2502
309	1121	2497
310	1124	2492
311	1127	2486
312	1130	2481
313	1133	2475
314	1136	2470
315	1138	2464
316	1141	2459
317	1143	2453
318	1147	2449
319	1151	2446
320	1153	2440
321	1156	2435
322	1159	2430
323	1162	2425
324	1165	2420
325	1168	2416
326	1171	2411
327	1174	2406
328	1178	2404
329	1182	2401
330	1185	2396
331	1188	2390
332	1191	2386
333	1194	2380
334	1197	2376
335	1200	2372
336	1203	2367
337	1206	2363
338	1209	2358
339	1212	2353
340	1215	2349
341	1218	2344
342	1221	2339
343	1224	2335
344	1228	2331
345	1231	2328
346	1236	2326
347	1242	2327
348	1246	2325
349	1251	2323
350	1257	2324
351	1262	2323
352	1267	2322
353	1269	2316
354	1272	2311
355	1274	2305
356	1276	2299
357	1279	2293
358	1282	2289
359	1284	2283
360	1288	2279
361	1290	2274
362	1293	2269
363	1295	2264
364	1298	2258
365	1301	2254
366	1303	2248
367	1308	2247
368	1316	2250
369	1318	2245
370	1322	2241
371	1325	2236
372	1327	2231
373	1330	2226
374	1332	2220
375	1335	2217
376	1338	2211
377	1340	2205
378	1343	2200
379	1345	2196
380	1348	2191
381	1351	2186
382	1355	2183
383	1358	2178
384	1361	2174
385	1365	2171
386	1368	2167
387	1371	2162
388	1373	2157
389	1376	2153
390	1379	2148
391	1382	2144
392	1385	2139
393	1387	2134
394	1390	2130
395	1393	2125
396	1397	2122
397	1400	2117
398	1403	2113
399	1405	2108
400	1408	2104
401	1411	2098
402	1413	2093
403	1416	2089
404	1419	2085
405	1421	2080
406	1424	2075
407	1427	2071
408	1430	2067
409	1433	2062
410	1436	2059
411	1439	2054
412	1442	2050
413	1445	2045
414	1448	2041
415	1451	2037
416	1454	2033
417	1458	2030
418	1460	2025
419	1463	2021
420	1466	2017
421	1470	2013
422	1473	2009
423	1475	2004
424	1477	1999
425	1480	1995
426	1483	1990
427	1486	1986
428	1488	1981
429	1491	1977
430	1494	1973
431	1519	1997
432	1523	1995
433	1528	1993
434	1533	1992
435	1539	1991
436	1545	1991
437	1550	1989
438	1560	1993
439	1566	1993
440	1571	1992
441	1574	1988
442	1577	1983
443	1581	1979
444	1589	1982
445	1595	1981
446	1600	1979
447	1605	1977
448	1607	1973
449	1614	1972
450	1617	1969
451	1621	1966
452	1631	1969
453	1638	1970
454	1646	1971
455	1651	1970
456	1658	1970
457	1672	1979
458	1681	1982
459	1684	1977
460	1688	1973
461	1691	1969
462	1694	1965
463	1697	1961
464	1700	1956
465	1703	1951
466	1706	1947
467	1709	1942
468	1712	1938
469	1716	1935
470	1720	1931
471	1722	1927
472	1725	1922
473	1732	1922
474	1736	1918
475	1739	1914
476	1741	1909
477	1745	1905
478	1747	1900
479	1750	1896
480	1753	1891
481	1756	1887
482	1759	1883
483	1762	1878
484	1764	1873
485	1767	1869
486	1770	1864
487	1772	1860
488	1776	1856
489	1781	1853
490	1783	1849
491	1787	1845
492	1792	1843
493	1794	1838
494	1797	1833
495	1800	1829
496	1802	1824
497	1805	1820
498	1808	1815
499	1811	1811
500	1814	1807
501	1817	1803
502	1820	1799
503	1823	1794
504	1826	1790
505	1829	1785
506	1831	1781
507	1834	1776
508	1837	1772
509	1840	1768
510	1843	1764
511	1846	1759
512	1849	1755
513	1851	1750
514	1854	1746
515	1857	1742
516	1860	1738
517	1863	1734
518	1869	1732
519	1874	1730
520	1878	1726
521	1880	1721
522	1882	1717
523	1886	1713
524	1889	1709
525	1891	1704
526	1894	1700
527	1896	1695
528	1899	1690
529	1901	1686
530	1904	1681
531	1906	1677
532	1909	1672
533	1912	1669
534	1916	1665
535	1918	1660
536	1920	1655
537	1922	1651
538	1925	1646
539	1927	1642
540	1930	1638
541	1933	1634
542	1936	1629
543	1939	1625
544	1942	1621
545	1944	1616
546	1947	1612
547	1951	1609
548	1959	1610
549	1965	1607
550	1968	1604
551	1970	1599
552	1973	1595
553	1975	1590
554	1979	1586
555	1981	1582
556	1984	1578
557	1986	1573
558	1989	1569
559	1991	1564
560	1994	1561
561	1997	1556
562	2000	1552
563	2002	1548
564	2005	1544
565	2008	1539
566	2010	1535
567	2014	1532
568	2016	1527
569	2019	1523
570	2021	1518
571	2024	1514
572	2028	1511
573	2034	1510
574	2040	1507
575	2044	1505
576	2047	1501
577	2050	1496
578	2053	1492
579	2056	1489
580	2063	1488
581	2068	1485
582	2073	1483
583	2077	1479
584	2079	1475
585	2082	1470
586	2085	1466
587	2087	1462
588	2090	1458
589	2092	1454
590	2095	1450
591	2097	1445
592	2100	1441
593	2103	1437
594	2107	1434
595	2109	1430
596	2112	1425
597	2115	1422
598	2118	1418
599	2121	1414
600	2124	1410
601	2127	1406
602	2129	1402
603	2132	1398
604	2136	1394
605	2138	1390
606	2141	1386
607	2143	1382
608	2146	1378
609	2149	1374
610	2152	1370
611	2155	1366
612	2157	1362
613	2160	1358
614	2162	1354
